arrival_rate,departure_rate,avg_penalty
0.8,0.8,7774.011194509218
0.8,1.0,5621.117918561148
0.8,1.2,8701.898611404202
1.0,0.8,8843.290612873514
1.0,1.0,6409.571044727492
1.0,1.2,10596.852662024208
1.2,0.8,6645.077519375237
1.2,1.0,5890.68044624653
1.2,1.2,9275.819741315257
